num,scenario,kt,vbus,ktInception,vbusInception,ktDuration,vbusDuration,ktSeverity,vbusSeverity
468,0,0,0,0,0,0,0,0.029,6
469,0,0,0,0,0,0,0,0.029,6
470,0,0,0,0,0,0,0,0.029,6
471,0,0,0,0,0,0,0,0.029,6
472,0,0,0,0,0,0,0,0.029,6
473,0,0,0,0,0,0,0,0.029,6
474,0,0,0,0,0,0,0,0.029,6
475,0,0,0,0,0,0,0,0.029,6
476,0,0,0,0,0,0,0,0.029,6
477,0,0,0,0,0,0,0,0.029,6
478,0,0,0,0,0,0,0,0.029,6
479,0,0,0,0,0,0,0,0.029,6
480,0,0,0,0,0,0,0,0.029,6
481,0,0,0,0,0,0,0,0.029,6
482,0,0,0,0,0,0,0,0.029,6
483,0,0,0,0,0,0,0,0.029,6
484,0,0,0,0,0,0,0,0.029,6
485,0,0,0,0,0,0,0,0.029,6
486,0,0,0,0,0,0,0,0.029,6
487,0,0,0,0,0,0,0,0.029,6
488,0,0,0,0,0,0,0,0.029,6
489,0,0,0,0,0,0,0,0.029,6
490,0,0,0,0,0,0,0,0.029,6
491,0,0,0,0,0,0,0,0.029,6
492,0,0,0,0,0,0,0,0.029,6
493,0,0,0,0,0,0,0,0.029,6
494,0,0,0,0,0,0,0,0.029,6
495,0,0,0,0,0,0,0,0.029,6
496,0,0,0,0,0,0,0,0.029,6
497,0,0,0,0,0,0,0,0.029,6
498,0,0,0,0,0,0,0,0.029,6
499,0,0,0,0,0,0,0,0.029,6
500,0,0,0,0,0,0,0,0.029,6
501,0,0,0,0,0,0,0,0.029,6
502,0,0,0,0,0,0,0,0.029,6
503,0,0,0,0,0,0,0,0.029,6
504,0,0,0,0,0,0,0,0.029,6
505,0,0,0,0,0,0,0,0.029,6
506,0,0,0,0,0,0,0,0.029,6
507,0,0,0,0,0,0,0,0.029,6
508,0,0,0,0,0,0,0,0.029,6
509,0,0,0,0,0,0,0,0.029,6
510,0,0,0,0,0,0,0,0.029,6
511,0,0,0,0,0,0,0,0.029,6
512,0,0,0,0,0,0,0,0.029,6
513,0,0,0,0,0,0,0,0.029,6
514,0,0,0,0,0,0,0,0.029,6
515,0,0,0,0,0,0,0,0.029,6
516,0,0,0,0,0,0,0,0.029,6
517,0,0,0,0,0,0,0,0.029,6
518,0,0,0,0,0,0,0,0.029,6
519,0,0,0,0,0,0,0,0.029,6
520,0,0,0,0,0,0,0,0.029,6
521,0,0,0,0,0,0,0,0.029,6
522,0,0,0,0,0,0,0,0.029,6
523,0,0,0,0,0,0,0,0.029,6
524,0,0,0,0,0,0,0,0.029,6
525,0,0,0,0,0,0,0,0.029,6
526,0,0,0,0,0,0,0,0.029,6
527,0,0,0,0,0,0,0,0.029,6
528,0,0,0,0,0,0,0,0.029,6
529,0,0,0,0,0,0,0,0.029,6
530,0,0,0,0,0,0,0,0.029,6
531,0,0,0,0,0,0,0,0.029,6
532,0,0,0,0,0,0,0,0.029,6
533,0,0,0,0,0,0,0,0.029,6
534,0,0,0,0,0,0,0,0.029,6
535,0,0,0,0,0,0,0,0.029,6
536,0,0,0,0,0,0,0,0.029,6
537,0,0,0,0,0,0,0,0.029,6
538,0,0,0,0,0,0,0,0.029,6
539,0,0,0,0,0,0,0,0.029,6
540,0,0,0,0,0,0,0,0.029,6
541,0,0,0,0,0,0,0,0.029,6
542,0,0,0,0,0,0,0,0.029,6
543,0,0,0,0,0,0,0,0.029,6
544,0,0,0,0,0,0,0,0.029,6
545,0,0,0,0,0,0,0,0.029,6
546,0,0,0,0,0,0,0,0.029,6
547,0,0,0,0,0,0,0,0.029,6
548,0,0,0,0,0,0,0,0.029,6
549,0,0,0,0,0,0,0,0.029,6
550,0,0,0,0,0,0,0,0.029,6
551,0,0,0,0,0,0,0,0.029,6
552,0,0,0,0,0,0,0,0.029,6
553,0,0,0,0,0,0,0,0.029,6
554,0,0,0,0,0,0,0,0.029,6
555,0,0,0,0,0,0,0,0.029,6
556,0,0,0,0,0,0,0,0.029,6
557,0,0,0,0,0,0,0,0.029,6
558,0,0,0,0,0,0,0,0.029,6
559,0,0,0,0,0,0,0,0.029,6
560,0,0,0,0,0,0,0,0.029,6
561,0,0,0,0,0,0,0,0.029,6
562,0,0,0,0,0,0,0,0.029,6
563,0,0,0,0,0,0,0,0.029,6
564,0,0,0,0,0,0,0,0.029,6
565,0,0,0,0,0,0,0,0.029,6
566,0,0,0,0,0,0,0,0.029,6
567,0,0,0,0,0,0,0,0.029,6
568,0,0,0,0,0,0,0,0.029,6
569,0,0,0,0,0,0,0,0.029,6
570,0,0,0,0,0,0,0,0.029,6
571,0,0,0,0,0,0,0,0.029,6
572,0,0,0,0,0,0,0,0.029,6
573,0,0,0,0,0,0,0,0.029,6
574,0,0,0,0,0,0,0,0.029,6
575,0,0,0,0,0,0,0,0.029,6
576,0,0,0,0,0,0,0,0.029,6
577,0,0,0,0,0,0,0,0.029,6
578,0,0,0,0,0,0,0,0.029,6
579,0,0,0,0,0,0,0,0.029,6
580,0,0,0,0,0,0,0,0.029,6
581,0,0,0,0,0,0,0,0.029,6
582,0,0,0,0,0,0,0,0.029,6
583,0,0,0,0,0,0,0,0.029,6
584,0,0,0,0,0,0,0,0.029,6
585,0,0,0,0,0,0,0,0.029,6
